time, height, speed, acceleration, user_data
12.280186, 1.000000, 0.000002, 9.810000, 1.000000
12.290186, 1.000000, 0.000002, 9.810000, 1.000000
12.300186, 1.000000, 0.000002, 9.810000, 1.000000
12.310186, 1.000000, 0.000002, 9.810000, 1.000000
12.320187, 1.000000, 0.000002, 9.810000, 1.000000
12.330187, 1.000000, 0.000002, 9.810000, 1.000000
12.340187, 1.000000, 0.000002, 9.810000, 1.000000
12.350187, 1.000000, 0.000002, 9.810000, 1.000000
12.360188, 1.000000, 0.000002, 9.810000, 1.000000
12.370188, 1.000000, 0.000002, 9.810000, 1.000000
12.380188, 1.000000, 0.000002, 9.810000, 1.000000
12.390188, 1.000000, 0.000002, 9.810000, 1.000000
12.400188, 1.000000, 0.000002, 9.810000, 1.000000
12.410189, 1.000000, 0.000002, 9.810000, 1.000000
12.420189, 1.000000, 0.000002, 9.810000, 1.000000
12.430189, 1.000000, 0.000002, 9.810000, 1.000000
12.440189, 1.000000, 0.000002, 9.810000, 1.000000
12.450190, 1.000000, 0.000002, 9.810000, 1.000000
12.460190, 1.000000, 0.000002, 9.810000, 1.000000
12.470190, 1.000000, 0.000002, 9.810000, 1.000000
12.480190, 1.000000, 0.000002, 9.810000, 1.000000
12.490191, 1.000000, 0.000002, 9.810000, 1.000000
12.500191, 1.000000, 0.000002, 9.810000, 1.000000
12.510191, 1.000000, 0.000002, 9.810000, 1.000000
12.520191, 1.000000, 0.000002, 9.810000, 1.000000
12.530191, 1.000000, 0.000002, 9.810000, 1.000000
12.540192, 1.000000, 0.000002, 9.810000, 1.000000
12.550192, 1.000000, 0.000002, 9.810000, 1.000000
12.560192, 1.000000, 0.000002, 9.810000, 1.000000
12.570192, 1.000000, 0.000002, 9.810000, 1.000000
12.580193, 1.000000, 0.000002, 9.810000, 1.000000
12.590193, 1.000000, 0.000002, 9.810000, 1.000000
12.600193, 1.000000, 0.000002, 9.810000, 1.000000
12.610193, 1.000000, 0.000002, 9.810000, 1.000000
12.620193, 1.000000, 0.000002, 9.810000, 1.000000
12.630194, 1.000000, 0.000002, 9.810000, 1.000000
12.640194, 1.000000, 0.000002, 9.810000, 1.000000
12.650194, 1.000000, 0.000002, 9.810000, 1.000000
12.660194, 1.000000, 0.000002, 9.810000, 1.000000
12.670195, 1.000000, 0.000002, 9.810000, 1.000000
12.680195, 1.000000, 0.000002, 9.810000, 1.000000
12.690195, 1.000000, 0.000002, 9.810000, 1.000000
12.700195, 1.000000, 0.000002, 9.810000, 1.000000
12.710196, 1.000000, 0.000002, 9.810000, 1.000000
12.720196, 1.000000, 0.000002, 9.810000, 1.000000
12.730196, 1.000000, 0.000002, 9.810000, 1.000000
12.740196, 1.000000, 0.000002, 9.810000, 1.000000
12.750196, 1.000000, 0.000002, 9.810000, 1.000000
12.760197, 1.000000, 0.000002, 9.810000, 1.000000
12.770197, 1.000000, 0.000002, 9.810000, 1.000000
12.780197, 1.000000, 0.000002, 9.810000, 1.000000
12.790197, 1.000000, 0.000002, 9.810000, 1.000000
12.800198, 1.000000, 0.000002, 9.810000, 1.000000
12.810198, 1.000000, 0.000002, 9.810000, 1.000000
12.820198, 1.000000, 0.000002, 9.810000, 1.000000
12.830198, 1.000000, 0.000002, 9.810000, 1.000000
12.840199, 1.000000, 0.000002, 9.810000, 1.000000
12.850199, 1.000000, 0.000002, 9.810000, 1.000000
12.860199, 1.000000, 0.000002, 9.810000, 1.000000
12.870199, 1.000000, 0.000002, 9.810000, 1.000000
12.880199, 1.000000, 0.000002, 9.810000, 1.000000
12.890200, 1.000000, 0.000002, 9.810000, 1.000000
12.900200, 1.000000, 0.000002, 9.810000, 1.000000
12.910200, 1.000000, 0.000002, 9.810000, 1.000000
12.920200, 1.000000, 0.000002, 9.810000, 1.000000
12.930201, 1.000000, 0.000002, 9.810000, 1.000000
12.940201, 1.000000, 0.000002, 9.810000, 1.000000
12.950201, 1.000000, 0.000002, 9.810000, 1.000000
12.960201, 1.000000, 0.000002, 9.810000, 1.000000
12.970201, 1.000000, 0.000002, 9.810000, 1.000000
12.980202, 1.000000, 0.000002, 9.810000, 1.000000
12.990202, 1.000000, 0.000002, 9.810000, 1.000000
13.000202, 1.000000, 0.000002, 9.810000, 1.000000
13.010202, 1.000000, 0.000002, 9.810000, 1.000000
13.020203, 1.000000, 0.000002, 9.810000, 1.000000
13.030203, 1.000000, 0.000002, 9.810000, 1.000000
13.040203, 1.000000, 0.000002, 9.810000, 1.000000
13.050203, 1.000000, 0.000002, 9.810000, 1.000000
13.060204, 1.000000, 0.000002, 9.810000, 1.000000
13.070204, 1.000000, 0.000002, 9.810000, 1.000000
13.080204, 1.000000, 0.000002, 9.810000, 1.000000
13.090204, 1.000000, 0.000002, 9.810000, 1.000000
13.100204, 1.000000, 0.000002, 9.810000, 1.000000
13.110205, 1.000000, 0.000002, 9.810000, 1.000000
13.120205, 1.000000, 0.000002, 9.810000, 1.000000
13.130205, 1.000000, 0.000002, 9.810000, 1.000000
13.140205, 1.000000, 0.000002, 9.810000, 1.000000
13.150206, 1.000000, 0.000002, 9.810000, 1.000000
13.160206, 1.000000, 0.000002, 9.810000, 1.000000
13.170206, 1.000000, 0.000002, 9.810000, 1.000000
13.180206, 1.000000, 0.000002, 9.810000, 1.000000
13.190207, 1.000000, 0.000002, 9.810000, 1.000000
13.200207, 1.000000, 0.000002, 9.810000, 1.000000
13.210207, 1.000000, 0.000002, 9.810000, 1.000000
13.220207, 1.000000, 0.000002, 9.810000, 1.000000
13.230207, 1.000000, 0.000002, 9.810000, 1.000000
13.240208, 1.000000, 0.000002, 9.810000, 1.000000
13.250208, 1.000000, 0.000002, 9.810000, 1.000000
13.260208, 1.000000, 0.000002, 9.810000, 1.000000
13.270208, 1.000000, 0.000002, 9.810000, 1.000000
13.280209, 1.000000, 0.000002, 9.810000, 1.000000
13.290209, 1.000000, 0.000002, 9.810000, 1.000000
13.300209, 1.000000, 0.000002, 9.810000, 1.000000
13.310209, 1.000000, 0.000002, 9.810000, 1.000000
13.320210, 1.000000, 0.000002, 9.810000, 1.000000
13.330210, 1.000000, 0.000002, 9.810000, 1.000000
13.340210, 1.000000, 0.000002, 9.810000, 1.000000
13.350210, 1.000000, 0.000002, 9.810000, 1.000000
13.360210, 1.000000, 0.000002, 9.810000, 1.000000
13.370211, 1.000000, 0.000002, 9.810000, 1.000000
13.380211, 1.000000, 0.000002, 9.810000, 1.000000
13.390211, 1.000000, 0.000002, 9.810000, 1.000000
13.400211, 1.000000, 0.000002, 9.810000, 1.000000
13.410212, 1.000000, 0.000002, 9.810000, 1.000000
13.420212, 1.000000, 0.000002, 9.810000, 1.000000
13.430212, 1.000000, 0.000002, 9.810000, 1.000000
13.440212, 1.000000, 0.000002, 9.810000, 1.000000
13.450212, 1.000000, 0.000002, 9.810000, 1.000000
13.460213, 1.000000, 0.000002, 9.810000, 1.000000
13.470213, 1.000000, 0.000002, 9.810000, 1.000000
13.480213, 1.000000, 0.000002, 9.810000, 1.000000
13.490213, 1.000000, 0.000002, 9.810000, 1.000000
13.500214, 1.000000, 0.000002, 9.810000, 1.000000
13.510214, 1.000000, 0.000002, 9.810000, 1.000000
13.520214, 1.000000, 0.000002, 9.810000, 1.000000
13.530214, 1.000000, 0.000002, 9.810000, 1.000000
13.540215, 1.000000, 0.000002, 9.810000, 1.000000
13.550215, 1.000000, 0.000002, 9.810000, 1.000000
13.560215, 1.000000, 0.000002, 9.810000, 1.000000
13.570215, 1.000000, 0.000002, 9.810000, 1.000000
13.580215, 1.000000, 0.000002, 9.810000, 1.000000
13.590216, 1.000000, 0.000002, 9.810000, 1.000000
13.600216, 1.000000, 0.000002, 9.810000, 1.000000
13.610216, 1.000000, 0.000002, 9.810000, 1.000000
13.620216, 1.000000, 0.000002, 9.810000, 1.000000
13.630217, 1.000000, 0.000002, 9.810000, 1.000000
13.640217, 1.000000, 0.000002, 9.810000, 1.000000
13.650217, 1.000000, 0.000002, 9.810000, 1.000000
13.660217, 1.000000, 0.000002, 9.810000, 1.000000
13.670218, 1.000000, 0.000002, 9.810000, 1.000000
13.680218, 1.000000, 0.000002, 9.810000, 1.000000
13.690218, 1.000000, 0.000002, 9.810000, 1.000000
13.700218, 1.000000, 0.000002, 9.810000, 1.000000
13.710218, 1.000000, 0.000002, 9.810000, 1.000000
13.720219, 1.000000, 0.000002, 9.810000, 1.000000
13.730219, 1.000000, 0.000002, 9.810000, 1.000000
13.740219, 1.000000, 0.000002, 9.810000, 1.000000
13.750219, 1.000000, 0.000002, 9.810000, 1.000000
13.760220, 1.000000, 0.000002, 9.810000, 1.000000
13.770220, 1.000000, 0.000002, 9.810000, 1.000000
13.780220, 1.000000, 0.000002, 9.810000, 1.000000
13.790220, 1.000000, 0.000002, 9.810000, 1.000000
13.800220, 1.000000, 0.000002, 9.810000, 1.000000
13.810221, 1.000000, 0.000002, 9.810000, 1.000000
13.820221, 1.000000, 0.000002, 9.810000, 1.000000
13.830221, 1.000000, 0.000002, 9.810000, 1.000000
13.840221, 1.000000, 0.000002, 9.810000, 1.000000
13.850222, 1.000000, 0.000002, 9.810000, 1.000000
13.860222, 1.000000, 0.000002, 9.810000, 1.000000
13.870222, 1.000000, 0.000002, 9.810000, 1.000000
13.880222, 1.000000, 0.000002, 9.810000, 1.000000
13.890223, 1.000000, 0.000002, 9.810000, 1.000000
13.900223, 1.000000, 0.000002, 9.810000, 1.000000
13.910223, 1.000000, 0.000002, 9.810000, 1.000000
13.920223, 1.000000, 0.000002, 9.810000, 1.000000
13.930223, 1.000000, 0.000002, 9.810000, 1.000000
13.940224, 1.000000, 0.000002, 9.810000, 1.000000
13.950224, 1.000000, 0.000002, 9.810000, 1.000000
13.960224, 1.000000, 0.000002, 9.810000, 1.000000
13.970224, 1.000000, 0.000002, 9.810000, 1.000000
13.980225, 1.000000, 0.000002, 9.810000, 1.000000
13.990225, 1.000000, 0.000002, 9.810000, 1.000000
14.000225, 1.000000, 0.000002, 9.810000, 1.000000
14.010225, 1.000000, 0.000002, 9.810000, 1.000000
14.020226, 1.000000, 0.000002, 9.810000, 1.000000
14.030226, 1.000000, 0.000002, 9.810000, 1.000000
14.040226, 1.000000, 0.000002, 9.810000, 1.000000
14.050226, 1.000000, 0.000002, 9.810000, 1.000000
14.060226, 1.000000, 0.000002, 9.810000, 1.000000
14.070227, 1.000000, 0.000002, 9.810000, 1.000000
14.080227, 1.000000, 0.000002, 9.810000, 1.000000
14.090227, 1.000000, 0.000002, 9.810000, 1.000000
14.100227, 1.000000, 0.000002, 9.810000, 1.000000
14.110228, 1.000000, 0.000002, 9.810000, 1.000000
14.120228, 1.000000, 0.000002, 9.810000, 1.000000
14.130228, 1.000000, 0.000002, 9.810000, 1.000000
14.140228, 1.000000, 0.000002, 9.810000, 1.000000
14.150229, 1.000000, 0.000002, 9.810000, 1.000000
14.160229, 1.000000, 0.000002, 9.810000, 1.000000
14.170229, 1.000000, 0.000002, 9.810000, 1.000000
14.180229, 1.000000, 0.000002, 9.810000, 1.000000
14.190229, 1.000000, 0.000002, 9.810000, 1.000000
14.200230, 1.000000, 0.000002, 9.810000, 1.000000
14.210230, 1.000000, 0.000002, 9.810000, 1.000000
14.220230, 1.000000, 0.000002, 9.810000, 1.000000
14.230230, 1.000000, 0.000002, 9.810000, 1.000000
14.240231, 1.000000, 0.000002, 9.810000, 1.000000
14.250231, 1.000000, 0.000002, 9.810000, 1.000000
14.260231, 1.000000, 0.000002, 9.810000, 1.000000
14.270231, 1.000000, 0.000002, 9.810000, 1.000000
14.280231, 1.000000, 0.000002, 9.810000, 1.000000
14.290232, 1.000000, 0.000002, 9.810000, 1.000000
14.300232, 1.000000, 0.000002, 9.810000, 1.000000
14.310232, 1.000000, 0.000002, 9.810000, 1.000000
14.320232, 1.000000, 0.000002, 9.810000, 1.000000
14.330233, 1.000000, 0.000002, 9.810000, 1.000000
14.340233, 1.000000, 0.000002, 9.810000, 1.000000
14.350233, 1.000000, 0.000002, 9.810000, 1.000000
14.360233, 1.000000, 0.000002, 9.810000, 1.000000
14.370234, 1.000000, 0.000002, 9.810000, 1.000000
14.380234, 1.000000, 0.000002, 9.810000, 1.000000
14.390234, 1.000000, 0.000002, 9.810000, 1.000000
14.400234, 1.000000, 0.000002, 9.810000, 1.000000
14.410234, 1.000000, 0.000002, 9.810000, 1.000000
14.420235, 1.000000, 0.000002, 9.810000, 1.000000
14.430235, 1.000000, 0.000002, 9.810000, 1.000000
14.440235, 1.000000, 0.000002, 9.810000, 1.000000
14.450235, 1.000000, 0.000002, 9.810000, 1.000000
14.460236, 1.000000, 0.000002, 9.810000, 1.000000
14.470236, 1.000000, 0.000002, 9.810000, 1.000000
14.480236, 1.000000, 0.000002, 9.810000, 1.000000
14.490236, 1.000000, 0.000002, 9.810000, 1.000000
14.500237, 1.000000, 0.000002, 9.810000, 1.000000
14.510237, 1.000000, 0.000002, 9.810000, 1.000000
14.520237, 1.000000, 0.000002, 9.810000, 1.000000
14.530237, 1.000000, 0.000002, 9.810000, 1.000000
14.540237, 1.000000, 0.000002, 9.810000, 1.000000
14.550238, 1.000000, 0.000002, 9.810000, 1.000000
14.560238, 1.000000, 0.000002, 9.810000, 1.000000
14.570238, 1.000000, 0.000002, 9.810000, 1.000000
14.580238, 1.000000, 0.000002, 9.810000, 1.000000
14.590239, 1.000000, 0.000002, 9.810000, 1.000000
14.600239, 1.000000, 0.000002, 9.810000, 1.000000
14.610239, 1.000000, 0.000002, 9.810000, 1.000000
14.620239, 1.000000, 0.000002, 9.810000, 1.000000
14.630239, 1.000000, 0.000002, 9.810000, 1.000000
14.640240, 1.000000, 0.000002, 9.810000, 1.000000
14.650240, 1.000000, 0.000002, 9.810000, 1.000000
14.660240, 1.000000, 0.000002, 9.810000, 1.000000
14.670240, 1.000000, 0.000002, 9.810000, 1.000000
14.680241, 1.000000, 0.000002, 9.810000, 1.000000
14.690241, 1.000000, 0.000002, 9.810000, 1.000000
14.700241, 1.000000, 0.000002, 9.810000, 1.000000
14.710241, 1.000000, 0.000002, 9.810000, 1.000000
14.720242, 1.000000, 0.000002, 9.810000, 1.000000
14.730242, 1.000000, 0.000002, 9.810000, 1.000000
14.740242, 1.000000, 0.000002, 9.810000, 1.000000
14.750242, 1.000000, 0.000002, 9.810000, 1.000000
14.760242, 1.000000, 0.000002, 9.810000, 1.000000
14.770243, 1.000000, 0.000002, 9.810000, 1.000000
14.780243, 1.000000, 0.000002, 9.810000, 1.000000
14.790243, 1.000000, 0.000002, 9.810000, 1.000000
14.800243, 1.000000, 0.000002, 9.810000, 1.000000
14.810244, 1.000000, 0.000002, 9.810000, 1.000000
14.820244, 1.000000, 0.000002, 9.810000, 1.000000
14.830244, 1.000000, 0.000002, 9.810000, 1.000000
14.840244, 1.000000, 0.000002, 9.810000, 1.000000
14.850245, 1.000000, 0.000002, 9.810000, 1.000000
14.860245, 1.000000, 0.000002, 9.810000, 1.000000
14.870245, 1.000000, 0.000002, 9.810000, 1.000000
14.880245, 1.000000, 0.000002, 9.810000, 1.000000
14.890245, 1.000000, 0.000002, 9.810000, 1.000000
14.900246, 1.000000, 0.000002, 9.810000, 1.000000
14.910246, 1.000000, 0.000002, 9.810000, 1.000000
14.920246, 1.000000, 0.000002, 9.810000, 1.000000
14.930246, 1.000000, 0.000002, 9.810000, 1.000000
14.940247, 1.000000, 0.000002, 9.810000, 1.000000
14.950247, 1.000000, 0.000002, 9.810000, 1.000000
14.960247, 1.000000, 0.000002, 9.810000, 1.000000
14.970247, 1.000000, 0.000002, 9.810000, 1.000000
14.980247, 1.000000, 0.000002, 9.810000, 1.000000
14.990248, 1.000000, 0.000002, 9.810000, 1.000000
15.000248, 1.000000, 0.000002, 9.810000, 1.000000
15.010248, 1.000000, 0.000002, 9.810000, 1.000000
15.020248, 1.000000, 0.000002, 9.810000, 1.000000
15.030249, 1.000000, 0.000002, 9.810000, 1.000000
15.040249, 1.000000, 0.000002, 9.810000, 1.000000
15.050249, 1.000000, 0.000002, 9.810000, 1.000000
15.060249, 1.000000, 0.000002, 9.810000, 1.000000
15.070250, 1.000000, 0.000002, 9.810000, 1.000000
15.080250, 1.000000, 0.000002, 9.810000, 1.000000
15.090250, 1.000000, 0.000002, 9.810000, 1.000000
15.100250, 1.000000, 0.000002, 9.810000, 1.000000
15.110250, 1.000000, 0.000002, 9.810000, 1.000000
15.120251, 1.000000, 0.000002, 9.810000, 1.000000
15.130251, 1.000000, 0.000002, 9.810000, 1.000000
15.140251, 1.000000, 0.000002, 9.810000, 1.000000
15.150251, 1.000000, 0.000002, 9.810000, 1.000000
15.160252, 1.000000, 0.000002, 9.810000, 1.000000
15.170252, 1.000000, 0.000002, 9.810000, 1.000000
15.180252, 1.000000, 0.000002, 9.810000, 1.000000
15.190252, 1.000000, 0.000002, 9.810000, 1.000000
15.200253, 1.000000, 0.000002, 9.810000, 1.000000
15.210253, 1.000000, 0.000002, 9.810000, 1.000000
15.220253, 1.000000, 0.000002, 9.810000, 1.000000
15.230253, 1.000000, 0.000002, 9.810000, 1.000000
15.240253, 1.000000, 0.000002, 9.810000, 1.000000
15.250254, 1.000000, 0.000002, 9.810000, 1.000000
15.260254, 1.000000, 0.000002, 9.810000, 1.000000
15.270254, 1.000000, 0.000002, 9.810000, 1.000000
15.280254, 1.000000, 0.000002, 9.810000, 1.000000
15.290255, 1.000000, 0.000002, 9.810000, 1.000000
15.300255, 1.000000, 0.000002, 9.810000, 1.000000
